Date:, 200308
Serial number:, 0014
Data Source:, simulation
Circuit type:, -Rs-(RQ)-(RQ)-
Circuit elements: , [Rs=150 ohm R1=205.26315789473685 ohm Q1=0.001                         [s^(alpha-1)/ohm] alpha_1=0.875 R2=20 ohm Q2=0.001                         [s^(alpha-1)/ohm] alpha_2=0.85]
---
,freq [Hz],angular_freq [1/s],Re_Z [ohm],Im_Z [ohm],|Z| [ohm],phase_angle [rad]
0,100000000.0,628318530.7179586,150.0007801676844,-0.0032507004109403478,150.00078020290775,-2.167122335495544e-05
1,71626291.1569279,450041260.2049765,150.00103629729645,-0.004316943296410303,150.00103635941602,-2.877942314120043e-05
2,51303255.84896997,322347863.3607233,150.00137660810552,-0.0057328729665326456,150.00137671765728,-3.8218802342855104e-05
3,36746619.40736688,230885819.1488878,150.00182883885338,-0.007613137701745067,150.00182903205058,-5.075363249995352e-05
4,26320240.607048776,165374949.0636404,150.00242992268656,-0.01010994678521418,150.00243026338444,-6.739855331088056e-05
5,18852212.170408722,118451942.51694426,150.00322907584217,-0.013425354960487842,150.00322967662976,-8.95004394728914e-05
6,13503140.378698722,84842733.2282232,150.00429195485748,-0.017827548174162346,150.00429301423208,-0.00011884692003074012
7,9671798.642975444,60769703.12754277,150.00570627490555,-0.023672421200303898,150.00570814277955,-0.0001578101366384559
8,6927550.656129393,43527084.4973345,150.00758944257623,-0.031432144070723644,150.0075927356752,-0.00020953702227672033
9,4961947.603002898,31176836.274182778,150.01009899395848,-0.04173294052154172,150.01010479902862,-0.00027820086597351104
10,3554059.0371810608,22330811.523264866,150.01344698646201,-0.055404976662224145,150.0134572179159,-0.0003693333848132462
11,2545640.673860415,15994732.0793585,150.0179200410962,-0.0735481113126993,150.01793807002352,-0.0004902621326835565
12,1823348.0008684385,11456433.368931845,150.0239075874083,-0.09761831418771064,150.0239393467939,-0.0006506849606882318
13,1305996.547906052,8205818.321030567,150.03194221900864,-0.1295408153945619,150.03199814316545,-0.0008634213573981774
