Date:, 200308
Serial number:, 0025
Data Source:, simulation
Circuit type:, rc
Circuit configuration:, parallel
Circuit elements:, [R=70.0 ohm C=0.1 F]
---
,freq [Hz],angular_freq [1/s],Re_Z [ohm],Im_Z [ohm],|Z| [ohm],phase_angle [rad]
0,100000000.0,628318530.7179586,3.6186137015120635e-18,-1.5915494309189534e-08,1.5915494309189534e-08,-1.5707963265675324
1,71626291.1569279,450041260.2049765,7.053380222426388e-18,-2.22201848680394e-08,2.22201848680394e-08,-1.5707963264774654
2,51303255.84896997,322347863.3607233,1.3748406618072396e-17,-3.102238648565045e-08,3.102238648565045e-08,-1.5707963263517197
3,36746619.40736688,230885819.1488878,2.679831209649902e-17,-4.331145168145408e-08,4.331145168145408e-08,-1.5707963261761615
4,26320240.607048776,165374949.0636404,5.2235109941929735e-17,-6.0468650521862e-08,6.0468650521862e-08,-1.5707963259310587
5,18852212.170408722,118451942.51694426,1.0181636443445797e-16,-8.442242303092264e-08,8.442242303092264e-08,-1.570796325588862
6,13503140.378698722,84842733.2282232,1.9845984967151425e-16,-1.1786513257535494e-07,1.1786513257535494e-07,-1.570796325111109
7,9671798.642975444,60769703.12754277,3.868367540955947e-16,-1.645556829364809e-07,1.645556829364809e-07,-1.5707963244441012
8,6927550.656129393,43527084.4973345,7.540198915140793e-16,-2.297420127142303e-07,2.297420127142303e-07,-1.570796323512868
9,4961947.603002898,31176836.274182778,1.4697310707410381e-15,-3.2075095471700887e-07,3.2075095471700887e-07,-1.5707963222127401
10,3554059.0371810608,22330811.523264866,2.8647910282102367e-15,-4.4781175953152076e-07,4.4781175953152076e-07,-1.5707963203975859
11,2545640.673860415,15994732.0793585,5.584033568247206e-15,-6.252058459238079e-07,6.252058459238079e-07,-1.5707963178633846
12,1823348.0008684385,11456433.368931845,1.0884364892329396e-14,-8.728720080647893e-07,8.728720080647893e-07,-1.5707963143252965
13,1305996.547906052,8205818.321030567,2.1215739064147323e-14,-1.2186475021474881e-06,1.2186475021474884e-06,-1.5707963093856465
14,935436.8899026163,5877523.322429887,4.1353591917447926e-14,-1.7013969067273378e-06,1.7013969067273382e-06,-1.5707963024892264
15,670018.750350959,4209851.967739973,8.060617446812214e-14,-2.375380435376309e-06,2.37538043537631e-06,-1.5707962928608905
16,479909.5809323878,3015360.8276890917,1.571170740223892e-13,-3.3163526925776786e-06,3.3163526925776824e-06,-1.5707962794184296
