May 31, 2016   14:55:58
A.C. Impedance
File: c:\documents and settings\user\desktop\impedance\sample 1.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.01
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+4, 8.168e+0, -2.547e+0, 8.556e+0, -17.3
6.812e+4, 8.463e+0, -2.805e+0, 8.916e+0, -18.3
5.625e+4, 8.790e+0, -3.066e+0, 9.309e+0, -19.2
4.644e+4, 9.150e+0, -3.350e+0, 9.744e+0, -20.1
3.833e+4, 9.536e+0, -3.644e+0, 1.021e+1, -20.9
3.164e+4, 9.949e+0, -3.956e+0, 1.071e+1, -21.7
2.612e+4, 1.039e+1, -4.284e+0, 1.124e+1, -22.4
2.153e+4, 1.087e+1, -4.635e+0, 1.182e+1, -23.1
1.777e+4, 1.138e+1, -5.007e+0, 1.243e+1, -23.7
1.470e+4, 1.193e+1, -5.406e+0, 1.310e+1, -24.4
1.211e+4, 1.252e+1, -5.834e+0, 1.382e+1, -25.0
1.001e+4, 1.316e+1, -6.307e+0, 1.459e+1, -25.6
8.252e+3, 1.384e+1, -6.831e+0, 1.543e+1, -26.3
6.812e+3, 1.457e+1, -7.387e+0, 1.634e+1, -26.9
5.625e+3, 1.538e+1, -7.979e+0, 1.732e+1, -27.4
4.643e+3, 1.624e+1, -8.613e+0, 1.839e+1, -27.9
3.833e+3, 1.718e+1, -9.299e+0, 1.954e+1, -28.4
3.164e+3, 1.819e+1, -1.004e+1, 2.077e+1, -28.9
2.612e+3, 1.928e+1, -1.084e+1, 2.212e+1, -29.3
2.153e+3, 2.047e+1, -1.172e+1, 2.359e+1, -29.8
1.777e+3, 2.174e+1, -1.263e+1, 2.514e+1, -30.2
1.470e+3, 2.309e+1, -1.360e+1, 2.680e+1, -30.5
1.211e+3, 2.456e+1, -1.468e+1, 2.861e+1, -30.9
1.001e+3, 2.616e+1, -1.585e+1, 3.059e+1, -31.2
8.252e+2, 2.790e+1, -1.713e+1, 3.273e+1, -31.5
6.836e+2, 2.978e+1, -1.852e+1, 3.507e+1, -31.9
5.615e+2, 3.182e+1, -2.003e+1, 3.760e+1, -32.2
4.639e+2, 3.404e+1, -2.167e+1, 4.035e+1, -32.5
3.809e+2, 3.641e+1, -2.341e+1, 4.328e+1, -32.7
3.174e+2, 3.896e+1, -2.528e+1, 4.645e+1, -33.0
2.588e+2, 4.173e+1, -2.734e+1, 4.989e+1, -33.2
2.148e+2, 4.472e+1, -2.957e+1, 5.361e+1, -33.5
1.758e+2, 4.789e+1, -3.198e+1, 5.759e+1, -33.7
1.465e+2, 5.118e+1, -3.456e+1, 6.176e+1, -34.0
1.221e+2, 5.489e+1, -3.750e+1, 6.648e+1, -34.3
9.766e+1, 5.893e+1, -4.071e+1, 7.163e+1, -34.6
8.254e+1, 6.325e+1, -4.415e+1, 7.713e+1, -34.9
6.813e+1, 6.801e+1, -4.796e+1, 8.322e+1, -35.2
5.623e+1, 7.333e+1, -5.211e+1, 8.996e+1, -35.4
4.642e+1, 7.921e+1, -5.667e+1, 9.740e+1, -35.6
3.831e+1, 8.568e+1, -6.164e+1, 1.056e+2, -35.7
3.162e+1, 9.296e+1, -6.694e+1, 1.146e+2, -35.8
2.610e+1, 1.011e+2, -7.248e+1, 1.244e+2, -35.6
2.154e+1, 1.101e+2, -7.818e+1, 1.351e+2, -35.4
1.778e+1, 1.201e+2, -8.390e+1, 1.465e+2, -34.9
1.468e+1, 1.312e+2, -8.965e+1, 1.589e+2, -34.3
1.212e+1, 1.434e+2, -9.484e+1, 1.719e+2, -33.5
1.000e+1, 1.566e+2, -9.997e+1, 1.858e+2, -32.5
8.254e+0, 1.708e+2, -1.053e+2, 2.007e+2, -31.7
6.813e+0, 1.862e+2, -1.103e+2, 2.164e+2, -30.6
5.623e+0, 2.024e+2, -1.143e+2, 2.324e+2, -29.5
4.642e+0, 2.191e+2, -1.165e+2, 2.481e+2, -28.0
3.831e+0, 2.360e+2, -1.177e+2, 2.637e+2, -26.5
3.162e+0, 2.532e+2, -1.182e+2, 2.795e+2, -25.0
2.610e+0, 2.702e+2, -1.179e+2, 2.948e+2, -23.6
2.154e+0, 2.874e+2, -1.175e+2, 3.105e+2, -22.2
1.778e+0, 3.043e+2, -1.169e+2, 3.260e+2, -21.0
1.468e+0, 3.190e+2, -1.157e+2, 3.394e+2, -19.9
1.212e+0, 3.317e+2, -1.142e+2, 3.509e+2, -19.0
1.000e+0, 3.428e+2, -1.124e+2, 3.608e+2, -18.2
8.254e-1, 3.525e+2, -1.116e+2, 3.697e+2, -17.6
6.813e-1, 3.609e+2, -1.130e+2, 3.782e+2, -17.4
5.623e-1, 3.685e+2, -1.175e+2, 3.868e+2, -17.7
4.642e-1, 3.755e+2, -1.252e+2, 3.959e+2, -18.4
3.831e-1, 3.829e+2, -1.354e+2, 4.061e+2, -19.5
3.162e-1, 3.903e+2, -1.490e+2, 4.178e+2, -20.9
2.610e-1, 3.993e+2, -1.672e+2, 4.329e+2, -22.7
2.154e-1, 4.085e+2, -1.900e+2, 4.505e+2, -24.9
1.778e-1, 4.185e+2, -2.179e+2, 4.718e+2, -27.5
1.468e-1, 4.301e+2, -2.510e+2, 4.980e+2, -30.3
1.212e-1, 4.437e+2, -2.905e+2, 5.304e+2, -33.2
1.000e-1, 4.604e+2, -3.376e+2, 5.709e+2, -36.3
