freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	cycle number	
1.0000193E+006	2.6912764E+004	4.1673941E+004	4.9608609E+004	-5.7145885E+001	1.000000000000000E+000
7.9432600E+005	3.4708629E+004	4.3036020E+004	5.5288227E+004	-5.1113762E+001	1.000000000000000E+000
6.3095688E+005	4.2002879E+004	4.2982336E+004	6.0097613E+004	-4.5660305E+001	1.000000000000000E+000
5.0119131E+005	4.8298195E+004	4.3533727E+004	6.5022313E+004	-4.2030018E+001	1.000000000000000E+000
3.9810538E+005	5.4107363E+004	4.3938230E+004	6.9700609E+004	-3.9078545E+001	1.000000000000000E+000
3.1623041E+005	5.9034922E+004	4.4978590E+004	7.4217219E+004	-3.7303703E+001	1.000000000000000E+000
2.5119134E+005	6.3723457E+004	4.7068605E+004	7.9222047E+004	-3.6451004E+001	1.000000000000000E+000
1.9952144E+005	6.8153039E+004	5.0047887E+004	8.4555469E+004	-3.6291538E+001	1.000000000000000E+000
1.5848630E+005	7.2739344E+004	5.4147211E+004	9.0680391E+004	-3.6664017E+001	1.000000000000000E+000
1.2588864E+005	7.7460219E+004	5.9492848E+004	9.7670281E+004	-3.7525845E+001	1.000000000000000E+000
1.0001951E+005	8.2168227E+004	6.6706281E+004	1.0583641E+005	-3.9070580E+001	1.000000000000000E+000
7.9433578E+004	8.6983898E+004	7.5751289E+004	1.1534495E+005	-4.1051491E+001	1.000000000000000E+000
6.3095688E+004	9.2280375E+004	8.7159469E+004	1.2693479E+005	-4.3365322E+001	1.000000000000000E+000
5.0117172E+004	9.7987352E+004	1.0135923E+005	1.4097948E+005	-4.5969044E+001	1.000000000000000E+000
3.9814441E+004	1.0430580E+005	1.1883056E+005	1.5811516E+005	-4.8724335E+001	1.000000000000000E+000
3.1621082E+004	1.1081302E+005	1.4041445E+005	1.7887355E+005	-5.1720016E+001	1.000000000000000E+000
2.5117180E+004	1.1830649E+005	1.6721603E+005	2.0483561E+005	-5.4720329E+001	1.000000000000000E+000
1.9951164E+004	1.2541760E+005	2.0008969E+005	2.3614711E+005	-5.7920231E+001	1.000000000000000E+000
1.5849604E+004	1.3411350E+005	2.4168628E+005	2.7640313E+005	-6.0973782E+001	1.000000000000000E+000
1.2587890E+004	1.4247830E+005	2.9208872E+005	3.2498597E+005	-6.3997288E+001	1.000000000000000E+000
1.0019525E+004	1.5411188E+005	3.5545056E+005	3.8742169E+005	-6.6560005E+001	1.000000000000000E+000
8.0808101E+003	1.7642338E+005	4.8163475E+005	5.1293006E+005	-6.9882156E+001	1.000000000000000E+000
6.4205449E+003	2.0091559E+005	5.8690775E+005	6.2034488E+005	-7.1102432E+001	1.000000000000000E+000
