Date:, 200308
Serial number:, 0040
Data Source:, simulation
Circuit type:, -Rs-(RQ)-(RQ)-
Circuit elements: , [Rs=150 ohm R1=268.42105263157896 ohm Q1=0.001                         [s^(alpha-1)/ohm] alpha_1=0.875 R2=100 ohm Q2=0.001                         [s^(alpha-1)/ohm] alpha_2=0.85]
---
,freq [Hz],angular_freq [1/s],Re_Z [ohm],Im_Z [ohm],|Z| [ohm],phase_angle [rad]
0,100000000.0,628318530.7179586,150.00077977415933,-0.003250901018062636,150.000779809387,-2.167256078567191e-05
1,71626291.1569279,450041260.2049765,150.00103560334585,-0.004317297106892473,150.0010356654756,-2.8781781994604017e-05
2,51303255.84896997,322347863.3607233,150.00137538439736,-0.005733497003926247,150.00137549397297,-3.822296286578198e-05
3,36746619.40736688,230885819.1488878,150.00182668101888,-0.007614238407402703,150.00182687427196,-5.076097117840229e-05
4,26320240.607048776,165374949.0636404,150.00242611775877,-0.010111888382712937,150.00242645858756,-6.74114987944092e-05
5,18852212.170408722,118451942.51694426,150.00322236682732,-0.013428780141933324,150.00322296792152,-8.952327752812619e-05
6,13503140.378698722,84842733.2282232,150.00428012580673,-0.017833591224259832,150.00428118589974,-0.00011888721525333823
7,9671798.642975444,60769703.12754277,150.0056854197778,-0.023683084527478384,150.0056872893352,-0.0001578812447303223
8,6927550.656129393,43527084.4973345,150.00755267725813,-0.03145096382509718,150.0075559743025,-0.0002096625323387524
9,4961947.603002898,31176836.274182778,150.01003418815338,-0.04176616416301266,150.01004000247255,-0.0002784224622694361
10,3554059.0371810608,22330811.523264866,150.0133327714878,-0.05546364835998765,150.0133430246304,-0.00036972477584540467
11,2545640.673860415,15994732.0793585,150.01771878752226,-0.073651769980902,150.01773686732955,-0.0004909537663857724
12,1823348.0008684385,11456433.368931845,150.02355306317622,-0.09780156258914269,150.02358494198603,-0.0006519079620335199
13,1305996.547906052,8205818.321030567,150.03131792353946,-0.12986501554556468,150.03137412820172,-0.0008655858317424235
14,935436.8899026163,5877523.322429887,150.04165943337551,-0.17243160986448508,150.0417585146919,-0.001149224386110867
15,670018.750350959,4209851.967739973,150.05544530712098,-0.22893524628906536,150.05561994695623,-0.001525669849514755
16,479909.5809323878,3015360.8276890917,150.07384499736614,-0.30392734919852005,150.07415275165496,-0.0020251825606129883
17,343741.43372862396,2159791.1258725356,150.09844163571168,-0.4034365171929532,150.09898381565597,-0.0026878063574819733
18,246209.24014946254,1546978.2801989533,150.13139046280742,-0.5354407063427726,150.13234527924337,-0.003566465577114595
