Date:, 200308
Serial number:, 0022
Data Source:, simulation
Circuit type:, rc
Circuit configuration:, parallel
Circuit elements:, [R=40.0 ohm C=0.1 F]
---
,freq [Hz],angular_freq [1/s],Re_Z [ohm],Im_Z [ohm],|Z| [ohm],phase_angle [rad]
0,100000000.0,628318530.7179586,6.332573977646112e-18,-1.5915494309189534e-08,1.5915494309189534e-08,-1.5707963263970093
1,71626291.1569279,450041260.2049765,1.2343415389246176e-17,-2.22201848680394e-08,2.22201848680394e-08,-1.570796326239392
2,51303255.84896997,322347863.3607233,2.4059711581626693e-17,-3.102238648565045e-08,3.102238648565045e-08,-1.570796326019337
3,36746619.40736688,230885819.1488878,4.689704616887328e-17,-4.331145168145408e-08,4.331145168145408e-08,-1.5707963257121103
4,26320240.607048776,165374949.0636404,9.141144239837703e-17,-6.0468650521862e-08,6.0468650521862e-08,-1.5707963252831803
5,18852212.170408722,118451942.51694426,1.7817863776030144e-16,-8.442242303092264e-08,8.442242303092264e-08,-1.570796324684336
6,13503140.378698722,84842733.2282232,3.4730473692514994e-16,-1.1786513257535494e-07,1.1786513257535494e-07,-1.5707963238482683
7,9671798.642975444,60769703.12754277,6.769643196672909e-16,-1.6455568293648092e-07,1.6455568293648092e-07,-1.5707963226810044
8,6927550.656129393,43527084.4973345,1.3195348101496391e-15,-2.2974201271423031e-07,2.2974201271423031e-07,-1.5707963210513463
9,4961947.603002898,31176836.274182778,2.572029373796817e-15,-3.2075095471700887e-07,3.207509547170089e-07,-1.5707963187761227
10,3554059.0371810608,22330811.523264866,5.013384299367915e-15,-4.4781175953152076e-07,4.4781175953152076e-07,-1.5707963155996025
11,2545640.673860415,15994732.0793585,9.772058744432609e-15,-6.252058459238079e-07,6.25205845923808e-07,-1.5707963111647505
12,1823348.0008684385,11456433.368931845,1.9047638561576438e-14,-8.728720080647891e-07,8.728720080647893e-07,-1.5707963049730964
13,1305996.547906052,8205818.321030567,3.71275433622578e-14,-1.2186475021474875e-06,1.2186475021474881e-06,-1.570796296328709
14,935436.8899026163,5877523.322429887,7.236878585553378e-14,-1.7013969067273357e-06,1.7013969067273372e-06,-1.5707962842599739
15,670018.750350959,4209851.967739973,1.4106080531921342e-13,-2.3753804353763033e-06,2.3753804353763075e-06,-1.5707962674103857
16,479909.5809323878,3015360.8276890917,2.7495487953917986e-13,-3.3163526925776634e-06,3.316352692577675e-06,-1.5707962438860794
17,343741.43372862396,2159791.1258725356,5.35940409607939e-13,-4.630077362670874e-06,4.630077362670905e-06,-1.5707962110429625
18,246209.24014946254,1546978.2801989533,1.0446518466306878e-12,-6.464214868429608e-06,6.464214868429693e-06,-1.5707961651895248
19,176350.5472047139,1108043.1671097383,2.0362291424660786e-12,-9.02491915191704e-06,9.024919151917271e-06,-1.5707961011719178
20,126313.35639768369,793650.2250184647,3.9690056873980365e-12,-1.2600009027612072e-05,1.2600009027612697e-05,-1.5707960117946709
21,90473.57242349294,568462.220939339,7.73636218933528e-12,-1.7591318528562645e-05,1.7591318528564346e-05,-1.5707958870119334
22,64802.86440412508,407168.4054871497,1.50796709902948e-11,-2.4559862369556644e-05,2.4559862369561272e-05,-1.5707957127983374
23,46415.888336127726,291639.62761324603,2.9393204662647535e-11,-3.428889304869781e-05,3.428889304871041e-05,-1.5707954695725703
24,33245.97932270938,208890.64880324394,5.729305903928726e-11,-4.787193709855711e-05,4.7871937098591395e-05,-1.570795129996469
25,23812.86194765587,149620.62431140724,1.116752886169105e-10,-6.683570561207496e-05,6.683570561216826e-05,-1.5707946559022563
26,17056.269831425252,107167.70400010158,2.176768058256812e-10,-9.331169397765675e-05,9.331169397791065e-05,-1.5707939940025473
27,12216.77348996793,76760.25169330758,4.242943302962434e-10,-0.00013027575834233208,0.00013027575834302302,-1.570793069900938
28,8750.421749906795,54980.52137063906,8.270319753994538e-10,-0.00018188259679060602,0.0001818825967924863,-1.5707917797299769
29,6267.602560047386,39380.5083165309,1.61204578870763e-09,-0.00025393273035531774,0.00025393273036043463,-1.5707899784766375
30,4489.251258218607,28206.797545876623,3.1421900266751324e-09,-0.00035452447173239246,0.00035452447174631724,-1.5707874636831027
31,3215.4841769777026,20203.482936254746,6.1247380394161276e-09,-0.0004949641618734964,0.0004949641619113904,-1.5707839526908485
32,2303.1320587069963,14471.005511762072,1.193830281757628e-08,-0.0006910369834969241,0.0006910369836000467,-1.5707790508703057
33,1649.6480740980207,10365.044541189785,2.3270068569018302e-08,-0.0009647811887776607,0.0009647811890582922,-1.5707722072651678
34,1181.5817326180995,7424.096981617841,4.535787869813322e-08,-0.001346965161341596,0.0013469651621052896,-1.5707626526658376
35,846.3231720621134,5317.605319826292,8.84113062586913e-08,-0.0018805457299760336,0.0018805457320543023,-1.570749313151578
36,606.1898993497572,3808.8034689550664,1.723307899472825e-07,-0.002625496442235906,0.0026254964478915795,-1.5707306893836521
37,434.19134227214533,2728.1046622689264,3.359061455083366e-07,-0.0036655484865843104,0.003665548501975314,-1.570704688082219
38,310.9951549940195,1954.0401884624616,6.547462481127747e-07,-0.005117601928229504,0.005117601970113637,-1.5706683867452949
39,222.75429519995564,1399.6065147115055,1.2762274578975018e-06,-0.007144865057308188,0.007144865171289103,-1.5706177051646646
40,159.5506400444829,1002.4862372785938,2.4876148660123972e-06,-0.009975198667308244,0.009975198977488914,-1.5705469468178745
41,114.28020598100309,718.0437111212954,4.8488437585518925e-06,-0.013926727068151724,0.013926727912258347,-1.570448158590056
