Date:, 200308
Serial number:, 0026
Data Source:, simulation
Circuit type:, -Rs-(RQ)-(RQ)-
Circuit elements: , [Rs=150 ohm R1=121.05263157894737 ohm Q1=0.001                         [s^(alpha-1)/ohm] alpha_1=0.875 R2=100 ohm Q2=0.001                         [s^(alpha-1)/ohm] alpha_2=0.85]
---
,freq [Hz],angular_freq [1/s],Re_Z [ohm],Im_Z [ohm],|Z| [ohm],phase_angle [rad]
0,100000000.0,628318530.7179586,150.000779774161,-0.003250901017366589,150.0007798093887,-2.1672560781031378e-05
1,71626291.1569279,450041260.2049765,150.0010356033489,-0.0043172971056443365,150.00103566547864,-2.8781781986282583e-05
2,51303255.84896997,322347863.3607233,150.00137538440276,-0.005733497001688117,150.00137549397837,-3.8222962850859875e-05
3,36746619.40736688,230885819.1488878,150.00182668102858,-0.007614238403389339,150.00182687428165,-5.076097115164357e-05
4,26320240.607048776,165374949.0636404,150.00242611777617,-0.01011188837551626,150.00242645860493,-6.741149874642431e-05
5,18852212.170408722,118451942.51694426,150.00322236685847,-0.0134287801290284,150.00322296795267,-8.952327744207663e-05
6,13503140.378698722,84842733.2282232,150.00428012586258,-0.017833591201119,150.00428118595556,-0.00011888721509902614
7,9671798.642975444,60769703.12754277,150.00568541987798,-0.023683084485982733,150.0056872894354,-0.00015788124445358968
8,6927550.656129393,43527084.4973345,150.0075526774378,-0.03145096375068803,150.00755597448216,-0.00020966253184246528
9,4961947.603002898,31176836.274182778,150.0100341884755,-0.04176616402958363,150.01004000279463,-0.00027842246137937097
10,3554059.0371810608,22330811.523264866,150.01333277206544,-0.05546364812072517,150.01334302520794,-0.00036972477424903976
11,2545640.673860415,15994732.0793585,150.01771878855803,-0.07365176955186059,150.01773686836512,-0.0004909537635224451
12,1823348.0008684385,11456433.368931845,150.02355306503358,-0.09780156181979208,150.02358494384288,-0.0006519079568972523
13,1305996.547906052,8205818.321030567,150.03131792686997,-0.12986501416597468,150.03137413153104,-0.0008655858225278685
14,935436.8899026163,5877523.322429887,150.0416594393477,-0.17243160739061636,150.04175852066126,-0.0011492243695772665
15,670018.750350959,4209851.967739973,150.05544531783016,-0.2289352418529338,150.05561995765865,-0.0015256698198426568
16,479909.5809323878,3015360.8276890917,150.07384501656955,-0.3039273412436381,150.07415277084223,-0.0020251825073476135
17,343741.43372862396,2159791.1258725356,150.09844167014663,-0.4034365029281713,150.09898385005243,-0.0026878062618298617
18,246209.24014946254,1546978.2801989533,150.13139052455494,-0.5354406807628446,150.1323453408993,-0.0035664654052663144
