Date:, 200308
Serial number:, 0029
Data Source:, simulation
Circuit type:, rc
Circuit configuration:, parallel
Circuit elements:, [R=40.0 ohm Q=1e-05 [s^(alpha-1)/ohm]                        alpha=0.75]
---
,freq [Hz],angular_freq [1/s],Re_Z [ohm],Im_Z [ohm],|Z| [ohm],phase_angle [rad]
0,100000000.0,628318530.7179586,0.009654050484590835,-0.023268636295313658,0.025191866262796344,-1.1775153888226915
1,71626291.1569279,450041260.2049765,0.012403621891850214,-0.029881813876453618,0.03235386586766722,-1.1773499681648043
2,51303255.84896997,322347863.3607233,0.015937788421642243,-0.038373021356145634,0.041551195744193,-1.1771375374663653
3,36746619.40736688,230885819.1488878,0.020481398778488927,-0.04927461039282103,0.05336173652803846,-1.1768647493791984
4,26320240.607048776,165374949.0636404,0.026324358826947607,-0.06326919764731784,0.06852709857118762,-1.1765144748405156
5,18852212.170408722,118451942.51694426,0.03384085112869004,-0.08123166291153622,0.08799878558530004,-1.1760647367745574
6,13503140.378698722,84842733.2282232,0.04351448114745163,-0.10428261106177748,0.11299722580397219,-1.1754873465294844
7,9671798.642975444,60769703.12754277,0.055971328667443865,-0.13385624376730446,0.14508715872981678,-1.1747461624146855
8,6927550.656129393,43527084.4973345,0.07202362895457282,-0.17178621784538525,0.18627374417616707,-1.1737948693308267
9,4961947.603002898,31176836.274182778,0.09272787748463969,-0.22041374033433964,0.23912481299727148,-1.1725741540052332
10,3554059.0371810608,22330811.523264866,0.11946269997677263,-0.2827227856811783,0.3069259034833422,-1.1710081217125687
11,2545640.673860415,15994732.0793585,0.1540340867668327,-0.3625077523918119,0.39387608512101285,-1.1689997682712436
12,1823348.0008684385,11456433.368931845,0.19881889426228463,-0.46457878664541974,0.50533395068668,-1.1664252877241963
13,1305996.547906052,8205818.321030567,0.2569623431792892,-0.5950088012179092,0.6481243085542805,-1.1631269663595512
14,935436.8899026163,5877523.322429887,0.3326522302002841,-0.7614228554402142,0.8309165247146985,-1.158904397527487
15,670018.750350959,4209851.967739973,0.43150247435108113,-0.9733231857694498,1.0646841829047222,-1.1535037678589264
16,479909.5809323878,3015360.8276890917,0.5610921111127752,-1.2424286107724276,1.3632509710317082,-1.1466050481668246
17,343741.43372862396,2159791.1258725356,0.7317228748087198,-1.5829799770866262,1.743916274760779,-1.1378071317194958
18,246209.24014946254,1546978.2801989533,0.9574767175771166,-2.0119152863916097,2.228130333781775,-1.126611401454172
19,176350.5472047139,1108043.1671097383,1.25766579312927,-2.5487365795216688,2.842143803363808,-1.1124050443457918
20,126313.35639768369,793650.2250184647,1.6587503411867206,-3.2147596271207792,3.6174759369694214,-1.094446924324014
21,90473.57242349294,568462.220939339,2.196707528164749,-4.031244464996845,4.5909101386177635,-1.0718613290193528
22,64802.86440412508,407168.4054871497,2.9195762690800726,-5.0156639130473915,5.80351704396751,-1.0436487886344568
23,46415.888336127726,291639.62761324603,3.8893366552337554,-6.175178143615522,7.297928796797879,-1.0087284838243344
24,33245.97932270938,208890.64880324394,5.181262890928533,-7.496545606989969,9.11283058015421,-0.9660323948342048
25,23812.86194765587,149620.62431140724,6.877498057499469,-8.93284502880788,11.273672863783418,-0.914673314861721
26,17056.269831425252,107167.70400010158,9.050701485856615,-10.390364281771365,13.779508964182916,-0.8541983206057477
27,12216.77348996793,76760.25169330758,11.735515013945161,-11.723913028398767,16.58832268012624,-0.7849036080920264
28,8750.421749906795,54980.52137063906,14.893275209899517,-12.752613313225718,19.60711077120924,-0.7081208853744927
29,6267.602560047386,39380.5083165309,18.387878825160445,-13.3034617372486,22.695730476969043,-0.6263182692485918
30,4489.251258218607,28206.797545876623,21.996714550369305,-13.271291401327096,25.690127023223674,-0.5428648865758738
31,3215.4841769777026,20203.482936254746,25.464645953971786,-12.6624897121534,28.439177893735295,-0.4614513141096053
32,2303.1320587069963,14471.005511762072,28.57642468049002,-11.592199510733721,30.83814418891601,-0.3853727511501283
33,1649.6480740980207,10365.044541189785,31.206658941020237,-10.237066325218292,32.84285446193854,-0.31697999486844874
34,1181.5817326180995,7424.096981617841,33.326103595452814,-8.77574378960016,34.46219464740397,-0.2574841315783711
35,846.3231720621134,5317.605319826292,34.975149803119805,-7.34819619935035,35.73873376512965,-0.20708570195146508
